sample,unmapped,Reads_pe,Bases_pe
EGAF00001150983,29.32834,8746440,1594676402
EGAF00001150984,25.619728,14964463,2705948131
EGAF00001150997,28.063643,9230915,1654862879
EGAF00001150998,22.150337,18603417,3421749779
EGAF00001151004,25.43115,8740603,1534469835
EGAF00001151006,23.920334,24600359,4392256210
EGAF00001151009,30.606884,11564788,2147174643
EGAF00001151017,24.21263,20203162,3610873872
EGAF00001151018,25.70185,13528285,2495843455
EGAF00001151034,26.966059,17966972,3294957185
EGAF00001151040,33.1371,12822063,2223638819
EGAF00001151049,24.48519,8643160,1594205119
EGAF00001151052,31.759644,10469548,1927014032
EGAF00001151054,26.18056,10079871,1836221569
EGAF00001151065,22.91112,15508513,2811139240
EGAF00001151068,26.811516,11722936,2173103167
EGAF00001151074,23.633348,9260740,1712273544
EGAF00001151087,28.1483,10367763,1883257813
EGAF00001151094,24.736261,9647771,1781054328
EGAF00001151098,30.143816,14441086,2660912778
EGAF00001151099,22.64763,17970285,3292871340
EGAF00001151101,27.467096,12463295,2314079812
EGAF00001151110,23.798025,14578642,2735572622
EGAF00001151116,24.311459,11756974,2140532621
EGAF00001151126,26.150364,18893361,3373505673
EGAF00001151128,27.625538,10774548,2039253758
EGAF00001151129,32.418083,7169734,1301766676
EGAF00001151132,25.912863,11058058,2015346593
EGAF00001151141,24.361467,11357730,2120572982
EGAF00001151142,22.749222,10552906,1920344265
EGAF00001151147,29.288446,9571170,1806761606
EGAF00001151148,27.214891,15317611,2855547018
EGAF00001151149,28.448427,8086329,1516762606
EGAF00001151157,27.165676,7450212,1385330223
EGAF00001151162,21.374767,21549596,4002081421
EGAF00001151165,27.138418,8784074,1572168904
EGAF00001151168,26.415253,11422397,2115350029
EGAF00001151169,25.932562,11169810,2109050321
EGAF00001151170,32.152397,11666627,2159733656
EGAF00001151171,25.485634,11689253,2155996315
EGAF00001151172,26.683372,10596122,1958249744
EGAF00001151174,29.199617,7997231,1489085738
EGAF00001151178,24.62136,10537667,1947531947
EGAF00001151181,20.957369,13725811,2543953296
EGAF00001151186,27.123665,11006427,2050249783
EGAF00001151187,26.745892,13584659,2464213037
EGAF00001151188,34.436996,6795947,1259985745
EGAF00001151194,23.625065,9517171,1743807520
EGAF00001151198,25.638395,14049969,2588287428
EGAF00001151201,29.738813,9889186,1822603505
EGAF00001151203,26.974075,22063303,4091099886
EGAF00001151205,28.523296,16462169,3035213737
EGAF00001151210,24.114985,9306053,1718718304
EGAF00001151215,21.36898,24456394,4500316788
EGAF00001151217,28.372562,8337956,1525541685
EGAF00001151218,30.817764,9236863,1680957434
EGAF00001151220,23.521578,12582021,2300535106
EGAF00001151221,27.916676,10299284,1918730632
EGAF00001151224,24.71521,11804455,2136094584
EGAF00001151225,31.041086,9371137,1711360467
EGAF00001151233,21.323967,27622902,5022956128
EGAF00001151234,23.932081,11947681,2261663893
EGAF00001151237,23.677366,11855089,2170421346
EGAF00001151238,29.14861,7691846,1407516117
EGAF00001151245,27.536118,9269739,1718660972
EGAF00001151251,22.192335,15940452,2928186116
EGAF00001151253,24.526192,15859570,2980190932
EGAF00001151256,28.539865,11396791,2112233131
EGAF00001151257,26.55999,10546505,1935194293
EGAF00001151261,25.882637,10313670,1924822087
EGAF00001151263,26.431805,16746720,3072225655
EGAF00001151264,25.909828,15582121,2828502679
EGAF00001151268,26.645613,17673563,3265927178
EGAF00001151270,24.76216,15436467,2829638908
EGAF00001151271,22.872818,18162470,3355642366
EGAF00001151280,24.660856,13642324,2561497030
EGAF00001151284,26.733368,13576017,2516227798
EGAF00001151289,22.92571,29701830,5456074122
EGAF00001151293,26.852793,11891593,2172100979
EGAF00001151296,26.113684,12265167,2238490763
EGAF00001151311,24.833416,13458196,2462854051
EGAF00001151312,26.418835,7019363,1293878975
EGAF00001151316,30.667526,14063430,2554784371
EGAF00001151317,27.171886,7293005,1349280241
EGAF00001151328,28.279972,13506021,2483482223
EGAF00001151329,29.768425,13344946,2433631429
EGAF00001151331,31.185413,6638880,1215226790
EGAF00001151336,28.348684,10402073,1937629669
EGAF00001151338,27.270294,6625603,1233438711
EGAF00001151340,29.09106,8636365,1561002836
EGAF00001151342,29.260624,8671534,1586148256
EGAF00001151343,28.269434,6939502,1264266573
EGAF00001151344,26.67554,12726129,2310214259
EGAF00001151346,26.558834,12286660,2231895386
EGAF00001151351,28.195698,15399632,2743444482
EGAF00001151353,31.967163,8500533,1454869981
EGAF00001151357,30.236715,6102141,1032753600
EGAF00001151369,23.87706,14994101,2754982800
EGAF00001151371,26.771605,18042425,3327082368
EGAF00001151376,34.65927,15723338,2847687689
EGAF00001151381,23.321217,10408669,1922272765
EGAF00001151385,25.164192,11218696,1982229148
EGAF00001151396,27.350367,10270008,1888844573
EGAF00001151400,27.021397,11461509,2141739899
EGAF00001151405,32.352955,11584104,2105311622
EGAF00001151408,25.032282,15285683,2811005247
EGAF00001151409,27.703238,13398628,2468965139
EGAF00001151410,22.442335,23068212,4186633187
EGAF00001151415,24.193323,25072164,4555422090
EGAF00001151416,29.05478,8819079,1577618936
EGAF00001151420,26.00515,15406471,2801154764
EGAF00001151427,24.504364,13280987,2415263729
EGAF00001151431,22.686678,10902566,1969623756
EGAF00001151433,29.344648,8890910,1648716783
EGAF00001151436,28.34797,14639232,2675313899
EGAF00001151444,23.8427,12405936,2249801349
EGAF00001151447,27.21352,14333074,2643794633
EGAF00001151453,26.598024,9153998,1711609924
EGAF00001151455,20.016647,26966517,4938734254
EGAF00001151460,29.335897,18013874,3277929797
EGAF00001151463,29.477686,13050387,2397838030
EGAF00001151469,26.860916,10926254,2002056456
EGAF00001151473,28.938156,18282092,3325985634
EGAF00001151482,25.477999,10981446,1993425281
EGAF00001151484,27.735687,8814328,1613889156
EGAF00004983018,23.532492,14884296,2936244971
EGAF00004983019,21.508575,15316906,3038342911
EGAF00004983020,24.617058,15629231,3083187806
EGAF00004983021,20.522488,11849452,2330707397
EGAF00004983022,24.412888,10437310,2048585304
EGAF00004983023,24.030579,12959727,2539369128
EGAF00004983024,30.688303,8148528,1612831697
EGAF00004983025,20.650185,15032658,2945665691
EGAF00004983026,23.381025,12274343,2404431025
EGAF00004983027,24.96593,10049162,1988802260
EGAF00004983028,25.01958,11808979,2323882981
EGAF00004983029,23.187191,12496655,2458216570
EGAF00004983030,21.23366,17206765,3384939857
EGAF00004983031,37.04016,4575770,904408465
EGAF00004983032,24.762327,12731361,2509167424
EGAF00004983033,24.111885,11759723,2297519495
EGAF00004983034,22.665257,12213832,2397294015
EGAF00004983035,26.536137,10706648,2119492358
EGAF00004983036,22.568352,8791274,1739771585
EGAF00004983037,24.837626,13955434,2728739694
EGAF00004983038,24.305445,13522444,2646671961
EGAF00004983039,23.135674,10861107,2150674673
EGAF00004983040,25.031775,18500385,3661269447
EGAF00004983041,22.941488,19337191,3714512799
EGAF00004983042,23.513424,13882742,2729070636
EGAF00004983043,26.316183,15417259,3054718276
EGAF00004983044,24.083513,13609508,2664500818
EGAF00004983045,28.084421,9389399,1856506992
EGAF00004983046,25.574303,6193002,1213630153
EGAF00004983047,32.738716,10096575,1981192372
EGAF00004983048,25.895977,8224361,1618341993
EGAF00004983049,22.73584,14480573,2851338535
EGAF00004983050,23.692726,14162056,2782272686
EGAF00004983051,25.989008,10699130,2096438960
EGAF00004983052,28.013342,9931148,1949959370
EGAF00004983053,25.400288,12578062,2469515450
EGAF00004983054,21.130133,21268279,4222548019
EGAF00004983055,25.431454,10501356,2064000254
EGAF00004983056,27.694613,12634218,2502604741
EGAF00004983057,29.099072,5236145,1035216046
EGAF00004983058,20.187973,17113610,3373965897
EGAF00004983059,22.186512,14848439,2931691559
EGAF00004983060,22.447311,9989005,1968309833
EGAF00004983061,29.370165,12718048,2498646878
EGAF00004983062,22.83172,9961159,1949029773
EGAF00004983063,25.321287,12336182,2420212245
EGAF00004983064,23.289139,10257506,2032666013
EGAF00004983065,23.946947,14369574,2812464816
EGAF00004983066,23.922295,12263453,2422047733
EGAF00004983067,21.708847,18036314,3559183005
EGAF00004983068,24.230587,13509372,2642915739
EGAF00004983069,27.023226,8285210,1618735786
EGAF00004983070,27.31182,9465983,1850061990
EGAF00004983071,27.76997,10145876,1987565977
EGAF00004983072,24.684906,14306529,2814401168
EGAF00004983073,23.773592,13647442,2675466145
EGAF00004983074,23.828728,9176872,1799465906
EGAF00004983075,26.505692,10312420,2025353087
EGAF00004983076,26.206142,11659798,2285426446
EGAF00004983077,20.070385,18916013,3736295786
EGAF00004983078,22.28453,12574144,2473155282
EGAF00004983079,27.993525,12435557,2448296947
EGAF00004983080,26.455683,13895692,2747115379
EGAF00004983081,21.906244,18019053,3508969071
EGAF00004983082,24.248005,8410545,1654217283
EGAF00004983083,22.120363,15180441,2990527018
EGAF00004983084,25.5041,11087319,2189991199
EGAF00004983085,21.659733,14915378,2959966386
EGAF00004983086,26.702272,16377299,3221722089
EGAF00004983087,23.130821,10991109,2154195666
EGAF00004983088,23.434853,14808218,2913604950
EGAF00004983089,25.93736,8484368,1664928301
EGAF00004983090,24.345362,12598687,2495208940
EGAF00004983091,23.25021,11784676,2300347811
EGAF00004983092,24.700266,10334732,2030735620
EGAF00004983093,22.718685,10756528,2118549457
EGAF00004983094,23.480988,14504464,2870652969
EGAF00004983095,47.35371,1122362,215502246
EGAF00004983096,26.455004,8421505,1652129239
EGAF00004983097,22.782993,18787778,3697202122
EGAF00004983098,27.967983,11970019,2349558361
EGAF00004983099,24.62805,15488900,3033092708
EGAF00004983100,24.461132,7147001,1406175180
EGAF00004983101,25.310833,9053454,1769954177
EGAF00004983102,30.956728,4478797,886674063
EGAF00004983103,19.683022,16553710,3281019956
EGAF00004983104,25.297499,11880577,2339807231
EGAF00004983105,23.368538,17047281,3375160480
EGAF00004983106,25.351196,10199899,1995602470
EGAF00004983107,24.811184,8932914,1765309431
EGAF00004983108,21.197159,13519771,2680832406
EGAF00004983109,22.562712,14724390,2887739721
EGAF00004983110,23.580635,15091505,2973154714
EGAF00004983111,21.879148,15589367,3058469386
EGAF00004983112,23.417551,7909160,1566973880
EGAF00004983113,22.506683,14659383,2909222754
EGAF00004983114,22.827435,6936851,1364436275
EGAF00004983115,19.171452,18893468,3732817753
EGAF00004983116,26.3335,11127624,2192885914
EGAF00004983117,22.360218,13823966,2709791502
EGAF00004983118,20.741648,17640462,3460869296
EGAF00004983119,19.909143,17982673,3534040786
EGAF00004983120,22.051638,14847835,2944673829
EGAF00004983121,22.326046,10213023,2006463020
EGAF00004983122,23.130386,11756271,2297900706
EGAF00004983123,24.566628,13141512,2595777891
EGAF00004983124,24.535864,9654418,1913944535
EGAF00004983125,29.86462,6565973,1296782630
EGAF00004983126,19.316942,20999211,4161976105
EGAF00004983127,27.55726,9370352,1836132690
EGAF00004983128,21.266438,11897157,2325307321
EGAF00004983129,24.313705,10589736,2065156042
EGAF00004983130,25.963217,14061232,2772976723
EGAF00004983131,48.39483,1526755,288669805
EGAF00004983132,24.303043,14368204,2822140951
EGAF00004983133,21.876776,9595542,1904643893
EGAF00004983134,21.23136,19380823,3816605478
EGAF00004983135,26.677155,15850471,3137934016
EGAF00004983136,20.875608,20172133,3979922762
EGAF00004983137,28.52003,10090043,1972499061
EGAF00004983138,21.659124,17230318,3418157411
EGAF00004983139,20.438517,15190139,3000639518
EGAF00004983140,27.339209,16432890,3239341819
EGAF00004983141,28.299915,8736417,1709655381
EGAF00004983142,22.151787,7531928,1478635786
EGAF00004983143,22.411037,9512897,1861555093
EGAF00004983144,26.502901,6998820,1375039316
EGAF00004983145,25.144268,10680269,2103514402
EGAF00004983146,21.164173,21701042,4283737633
EGAF00004983147,22.954065,15660245,3060745703
EGAF00004983148,20.130194,12165448,2406648227
EGAF00004983149,19.819986,11777676,2310280365
EGAF00004983150,22.4402,12655443,2504374845
EGAF00004983151,22.668875,19223826,3792963779
EGAF00004983152,25.433277,11144095,2180106604
EGAF00004983153,31.332409,4563195,856258956
EGAF00004983154,27.455967,13198922,2599108221
EGAF00004983155,25.67026,11687809,2293120165
EGAF00004983156,26.017767,9478536,1862345061
EGAF00004983157,21.94702,13200378,2596911438
EGAF00004983158,26.929968,5680267,1128218843
EGAF00004983159,24.571115,12150833,2392253149
EGAF00004983160,27.126234,12383301,2423001966
EGAF00004983161,20.946646,17870245,3491073541
EGAF00004983162,28.704441,10721186,2097785171
EGAF00004983163,20.125175,15100933,2995110111
EGAF00004983164,24.827438,10706337,2118785761
EGAF00004983165,22.507185,11366392,2237185949
EGAF00004983166,24.779188,12055735,2364755397
EGAF00004983167,22.50998,13104657,2582363835
EGAF00004983168,21.899122,13656579,2689520817
EGAF00004983169,28.496492,7633891,1492201587
EGAF00004983170,23.759348,9143024,1811410095
EGAF00004983171,28.002203,5646881,1114443065
EGAF00004983172,21.618813,15562478,3085360712
EGAF00004983173,27.404999,7332102,1434271482
EGAF00004983174,24.321568,11249245,2211463976
EGAF00004983175,25.719107,9708025,1910384040
EGAF00004983176,23.981035,14032509,2766245012
EGAF00004983177,21.595514,14339205,2812136523
EGAF00004983178,24.199575,22133313,4392251357
EGAF00004983179,20.859886,15616017,3048620790
EGAF00004983180,26.510609,8530664,1686620583
EGAF00004983181,24.352694,15575396,3041928034
EGAF00004983182,31.93887,7706436,1518028521
EGAF00004983183,22.238934,14299907,2799982750
EGAF00004983184,24.854357,14180406,2811799452
EGAF00004983185,20.332962,20784085,4102599387
EGAF00004983186,22.434032,27925913,5414670550
EGAF00004983187,18.971502,14272405,2815299952
